DOI,Citation,Location,Site_ID,Biome,Discharge_m3s,CO2_flux_gCm2day,pH,,Internal_Pathway_gCm2day,External_Pathway_gCm2day,Source,Source_Water,Unit_Conversions_Notes
10.1111/gcb.14895,"(Rocher-Ros et al., 2019)","Miellajokka catchment, northern Sweden (Abisko)",M1,Arctic tundra/birch,4.5132,1.311,7,2.948,2.46,-1.149,Snowmelt + Groundwater Baseflow,Snowmelt + base flow; tundra; some sites groundwater-influenced,"Supplement-derived per-site averages (n=39 daily values). GPP_O2=0.552, ER_O2=-7.012 gO2/m2/d. GPP_C=GPP_O2*12/32=0.207; ER_C=|ER|*12/32*1.2 (RQ=1.2)=3.155 gC/m2/d. Internal=ER_C-GPP_C; External=FCO2-Internal. Q_L/s=4513.2; m3/s=Q/1000. pH NOT in supplement (Rocher-Ros Supplement.csv); paper text + SITES Sweden chemistry dataset (Miellejohka 383m a.s.l., 2017-2024) describe pH as circumneutral with little seasonal variation; recorded as qualitative. pH=7.0 best estimate (paper text ""circumneutral pH with little seasonal variation""; supplement does not contain pH; SITES Sweden Miellejohka chemistry dataset has time-series but not retrieved). Source: Rocher-Ros et al. 2019 main text."
10.1111/gcb.14895,"(Rocher-Ros et al., 2019)","Miellajokka catchment, northern Sweden (Abisko)",M6,Arctic tundra/birch,0.105,1.536,7,2.34,1.95,-0.414,Snowmelt + Groundwater Baseflow,Snowmelt + base flow; tundra; some sites groundwater-influenced,"Supplement-derived per-site averages (n=132 daily values). GPP_O2=0.401, ER_O2=-5.534 gO2/m2/d. GPP_C=GPP_O2*12/32=0.150; ER_C=|ER|*12/32*1.2 (RQ=1.2)=2.490 gC/m2/d. Internal=ER_C-GPP_C; External=FCO2-Internal. Q_L/s=105.0; m3/s=Q/1000. pH NOT in supplement (Rocher-Ros Supplement.csv); paper text + SITES Sweden chemistry dataset (Miellejohka 383m a.s.l., 2017-2024) describe pH as circumneutral with little seasonal variation; recorded as qualitative. pH=7.0 best estimate (paper text ""circumneutral pH with little seasonal variation""; supplement does not contain pH; SITES Sweden Miellejohka chemistry dataset has time-series but not retrieved). Source: Rocher-Ros et al. 2019 main text."
10.1111/gcb.14895,"(Rocher-Ros et al., 2019)","Miellajokka catchment, northern Sweden (Abisko)",M9,Arctic tundra/birch,0.7786,1.336,7,1.306,1.09,0.246,Snowmelt + Groundwater Baseflow,Snowmelt + base flow; tundra; some sites groundwater-influenced,"Supplement-derived per-site averages (n=135 daily values). GPP_O2=0.641, ER_O2=-3.437 gO2/m2/d. GPP_C=GPP_O2*12/32=0.240; ER_C=|ER|*12/32*1.2 (RQ=1.2)=1.547 gC/m2/d. Internal=ER_C-GPP_C; External=FCO2-Internal. Q_L/s=778.6; m3/s=Q/1000. pH NOT in supplement (Rocher-Ros Supplement.csv); paper text + SITES Sweden chemistry dataset (Miellejohka 383m a.s.l., 2017-2024) describe pH as circumneutral with little seasonal variation; recorded as qualitative. pH=7.0 best estimate (paper text ""circumneutral pH with little seasonal variation""; supplement does not contain pH; SITES Sweden Miellejohka chemistry dataset has time-series but not retrieved). Source: Rocher-Ros et al. 2019 main text."
10.1111/gcb.14895,"(Rocher-Ros et al., 2019)","Miellajokka catchment, northern Sweden (Abisko)",M10,Arctic tundra/birch,0.3355,0.756,7,1.652,1.38,-0.624,Snowmelt + Groundwater Baseflow,Snowmelt + base flow; tundra; some sites groundwater-influenced,"Supplement-derived per-site averages (n=88 daily values). GPP_O2=0.739, ER_O2=-4.287 gO2/m2/d. GPP_C=GPP_O2*12/32=0.277; ER_C=|ER|*12/32*1.2 (RQ=1.2)=1.929 gC/m2/d. Internal=ER_C-GPP_C; External=FCO2-Internal. Q_L/s=335.5; m3/s=Q/1000. pH NOT in supplement (Rocher-Ros Supplement.csv); paper text + SITES Sweden chemistry dataset (Miellejohka 383m a.s.l., 2017-2024) describe pH as circumneutral with little seasonal variation; recorded as qualitative. pH=7.0 best estimate (paper text ""circumneutral pH with little seasonal variation""; supplement does not contain pH; SITES Sweden Miellejohka chemistry dataset has time-series but not retrieved). Source: Rocher-Ros et al. 2019 main text."
10.1111/gcb.14895,"(Rocher-Ros et al., 2019)","Miellajokka catchment, northern Sweden (Abisko)",M16,Arctic tundra/birch,0.0945,2.652,7,2.605,2.17,0.482,Snowmelt + Groundwater Baseflow,Snowmelt + base flow; tundra; some sites groundwater-influenced,"Supplement-derived per-site averages (n=46 daily values). GPP_O2=0.645, ER_O2=-6.327 gO2/m2/d. GPP_C=GPP_O2*12/32=0.242; ER_C=|ER|*12/32*1.2 (RQ=1.2)=2.847 gC/m2/d. Internal=ER_C-GPP_C; External=FCO2-Internal. Q_L/s=94.5; m3/s=Q/1000. pH NOT in supplement (Rocher-Ros Supplement.csv); paper text + SITES Sweden chemistry dataset (Miellejohka 383m a.s.l., 2017-2024) describe pH as circumneutral with little seasonal variation; recorded as qualitative. pH=7.0 best estimate (paper text ""circumneutral pH with little seasonal variation""; supplement does not contain pH; SITES Sweden Miellejohka chemistry dataset has time-series but not retrieved). Source: Rocher-Ros et al. 2019 main text."
10.1111/gcb.14895,"(Rocher-Ros et al., 2019)","Miellajokka catchment, northern Sweden (Abisko)",M17,Arctic tundra/birch,0.0119,1.437,7,1.432,1.19,0.247,Snowmelt + Groundwater Baseflow,Snowmelt + base flow; tundra; some sites groundwater-influenced,"Supplement-derived per-site averages (n=53 daily values). GPP_O2=0.505, ER_O2=-3.604 gO2/m2/d. GPP_C=GPP_O2*12/32=0.189; ER_C=|ER|*12/32*1.2 (RQ=1.2)=1.622 gC/m2/d. Internal=ER_C-GPP_C; External=FCO2-Internal. Q_L/s=11.9; m3/s=Q/1000. pH NOT in supplement (Rocher-Ros Supplement.csv); paper text + SITES Sweden chemistry dataset (Miellejohka 383m a.s.l., 2017-2024) describe pH as circumneutral with little seasonal variation; recorded as qualitative. pH=7.0 best estimate (paper text ""circumneutral pH with little seasonal variation""; supplement does not contain pH; SITES Sweden Miellejohka chemistry dataset has time-series but not retrieved). Source: Rocher-Ros et al. 2019 main text."
10.1029/2018JG004912,"(Duvert et al., 2019)","Daly River, Northern Territory, Australia",Daly River,Tropical savanna/monsoonal,24,8.5,7.94,1.8,1.5,7,Snowmelt + Groundwater Baseflow,Mixed: regional carbonate aquifer (geogenic) + shallow sandstone (biogenic). Groundwater-dominated baseflow.,NEP not measured. Internal=CO2_evasion-GW_CO2 (back-calc per protocol)=8.5-6.7=1.8. GW_CO2 directly via 222Rn. Q range 12-36 m3/s; midpoint=24. Length-weighted means.
10.1029/2018JG004912,"(Duvert et al., 2019)","Howard River, Northern Territory, Australia",Howard River,Tropical savanna/monsoonal,0.105,2.3,6.85,0.6,0.5,1.8,Mixed,Mixed: dolomite aquifer (downstream geogenic) + shallow sandstone (upstream biogenic). Baseflow.,NEP not measured. Internal=2.3-1.7=0.6. GW_CO2 directly from 222Rn. Q midpoint of 0.05-0.16 m3/s. Length-weighted means.
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, NC Piedmont, USA",NHC,Temperate forested headwater (Triassic basin),0.694,0.568,7.267,0.377,0.31,0.258,Mixed,Mixed; mean GW flux -0.04 m3/m2/d (loss-dominated reach),"Carter Supplement.csv per-site means (high-frequency: n_meta=8 daily metabolism, n_pH=7, n_flux=8). Distance upstream=0 m. GPP_O2=1.043, ER_O2=1.708 gO2/m2/d. GPP_C=0.391=GPP*12/32; ER_C=0.769=|ER|*12/32*1.2 (RQ=1.2). CO2_flux_paper=2.081 g CO2/m2/d → ×12/44 = 0.568 g C/m2/d. Internal=ER_C-GPP_C; External=fco2_C-Internal. Lat=35.9795, Lon=-79.0227. Note: paper figures show distances as 0/2.3/2.5/5/6.9/8.5 km but supplement codes (CBP/NHC/PM/UNHC/WB/WBP) with actual distances 0/1570/3450/5950/6120/8450 m are authoritative."
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, NC Piedmont, USA",PM,Temperate forested headwater (Triassic basin),0.964,0.557,7.19,0.896,0.75,-0.193,Mixed,Mixed; mean GW flux -0.04 m3/m2/d (loss-dominated reach),"Carter Supplement.csv per-site means (high-frequency: n_meta=9 daily metabolism, n_pH=9, n_flux=9). Distance upstream=1570 m. GPP_O2=0.441, ER_O2=2.359 gO2/m2/d. GPP_C=0.165=GPP*12/32; ER_C=1.062=|ER|*12/32*1.2 (RQ=1.2). CO2_flux_paper=2.042 g CO2/m2/d → ×12/44 = 0.557 g C/m2/d. Internal=ER_C-GPP_C; External=fco2_C-Internal. Lat=35.9872, Lon=-79.0227. Note: paper figures show distances as 0/2.3/2.5/5/6.9/8.5 km but supplement codes (CBP/NHC/PM/UNHC/WB/WBP) with actual distances 0/1570/3450/5950/6120/8450 m are authoritative."
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, NC Piedmont, USA",CBP,Temperate forested headwater (Triassic basin),0.849,0.673,7.167,0.89,0.74,-0.067,Mixed,Mixed; mean GW flux -0.04 m3/m2/d (loss-dominated reach),"Carter Supplement.csv per-site means (high-frequency: n_meta=9 daily metabolism, n_pH=10, n_flux=11). Distance upstream=3450 m. GPP_O2=0.466, ER_O2=2.365 gO2/m2/d. GPP_C=0.175=GPP*12/32; ER_C=1.064=|ER|*12/32*1.2 (RQ=1.2). CO2_flux_paper=2.468 g CO2/m2/d → ×12/44 = 0.673 g C/m2/d. Internal=ER_C-GPP_C; External=fco2_C-Internal. Lat=35.9855, Lon=-79.0227. Note: paper figures show distances as 0/2.3/2.5/5/6.9/8.5 km but supplement codes (CBP/NHC/PM/UNHC/WB/WBP) with actual distances 0/1570/3450/5950/6120/8450 m are authoritative."
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, NC Piedmont, USA",WB,Temperate forested headwater (Triassic basin),0.891,0.682,7.224,0.707,0.59,0.092,Mixed,Mixed; mean GW flux -0.04 m3/m2/d (loss-dominated reach),"Carter Supplement.csv per-site means (high-frequency: n_meta=11 daily metabolism, n_pH=10, n_flux=11). Distance upstream=5950 m. GPP_O2=0.787, ER_O2=2.226 gO2/m2/d. GPP_C=0.295=GPP*12/32; ER_C=1.002=|ER|*12/32*1.2 (RQ=1.2). CO2_flux_paper=2.500 g CO2/m2/d → ×12/44 = 0.682 g C/m2/d. Internal=ER_C-GPP_C; External=fco2_C-Internal. Lat=35.993, Lon=-79.0227. Note: paper figures show distances as 0/2.3/2.5/5/6.9/8.5 km but supplement codes (CBP/NHC/PM/UNHC/WB/WBP) with actual distances 0/1570/3450/5950/6120/8450 m are authoritative."
