DOI,Citation,Location,Site_ID,Biome,Discharge_m3s,CO2_flux_gCm2day,pH,Temperature_C,Internal_Pathway_gCm2day,External_Pathway_gCm2day,Source_Water,Source_Water_Brief,Unit_Conversions_Notes,Source,Biome_Category,Mean_Annual_Precipitation_cm_yr
10.1002/lol2.10195,"(Aho et al., 2021)","Connecticut River Watershed, northwest Connecticut, USA",Connecticut River (Thompsonville gauge),"temperate forested watershed, nested headwater-to-mainstem river network",145.6313,0.661,7.976,24.51,-1.176,1.837,Nested forested drainage network (predominantly forested catchment); Connecticut River mainstem is partly reservoir-regulated (upstream reservoir release affected at least one sampling date),Surface runoff,"Aho et al. 2021.csv per-site-day aggregates, QA-filtered to physically valid days (GPP>=0 & ER<=0; n_valid=67/67 total site-days with both estimates -- no sign-flip days at this site) (n=67). GPP_O2=20.891, ER_O2=-17.754 gO2/m2/d. GPP_C=GPP_O2*12/32=7.834; ER_C=|ER|*12/32*1.0 (RQ=1.0)=6.658 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. pH: mean of 34 daily values. Temperature_C: mean of 67 daily WaterTemp_C values. Discharge: mean of 67 daily values, Q_cfs x0.0283168466 = m3/s. CO2_flux: Fick's law, kCO2=K600.daily x(ScCO2(T)/600)^-0.5 [Wanninkhof 1992 Schmidt polynomial] x(CO2_uM-CO2sat_uM) x1e-3 x12 = gC/m2/d, mean of 67 valid site-days. FLAG: NET_AUTO, BACKCALC","Aho et al. 2021.csv (per-site hourly time series w/ daily streamMetabolizer GPP/ER/K600, EDI repository doi:10.6073/pasta/68cfcebdede8d3a671cd426a1252f255)",Temperate,120.9
10.1002/lol2.10195,"(Aho et al., 2021)","Connecticut River Watershed, northwest Connecticut, USA",Farmington River (Unionville gauge),"temperate forested watershed, nested headwater-to-mainstem river network",8.9434,1.854,7.645,19.44,1.383,0.471,Nested forested drainage network (predominantly forested catchment); free-flowing tributary,Surface runoff,"Aho et al. 2021.csv per-site-day aggregates, QA-filtered to physically valid days (GPP>=0 & ER<=0; n_valid=70/144 total site-days with both estimates -- raw data include streamMetabolizer sign-flip days, common failure mode on noisy diel O2 signals, excluded per standard QA) (n=70). GPP_O2=7.462, ER_O2=-11.150 gO2/m2/d. GPP_C=GPP_O2*12/32=2.798; ER_C=|ER|*12/32*1.0 (RQ=1.0)=4.181 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. pH: mean of 110 daily values. Temperature_C: mean of 110 daily WaterTemp_C values. Discharge: mean of 144 daily values, Q_cfs x0.0283168466 = m3/s. CO2_flux: Fick's law, kCO2=K600.daily x(ScCO2(T)/600)^-0.5 [Wanninkhof 1992 Schmidt polynomial] x(CO2_uM-CO2sat_uM) x1e-3 x12 = gC/m2/d, mean of 91 valid site-days. FLAG: BACKCALC","Aho et al. 2021.csv (per-site hourly time series w/ daily streamMetabolizer GPP/ER/K600, EDI repository doi:10.6073/pasta/68cfcebdede8d3a671cd426a1252f255)",Temperate,120.9
10.1002/lol2.10195,"(Aho et al., 2021)","Connecticut River Watershed, northwest Connecticut, USA",Hubbard River,"temperate forested watershed, nested headwater-to-mainstem river network",0.7485,1.528,6.665,14.92,0.495,1.033,Nested forested drainage network (predominantly forested catchment); free-flowing headwater tributary,Surface runoff,"Aho et al. 2021.csv per-site-day aggregates, QA-filtered to physically valid days (GPP>=0 & ER<=0; n_valid=52/202 total site-days with both estimates -- raw data include streamMetabolizer sign-flip days, common failure mode on noisy diel O2 signals, excluded per standard QA) (n=52). GPP_O2=3.538, ER_O2=-4.858 gO2/m2/d. GPP_C=GPP_O2*12/32=1.327; ER_C=|ER|*12/32*1.0 (RQ=1.0)=1.822 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. pH: mean of 202 daily values. Temperature_C: mean of 202 daily WaterTemp_C values. Discharge: mean of 202 daily values, Q_cfs x0.0283168466 = m3/s. CO2_flux: Fick's law, kCO2=K600.daily x(ScCO2(T)/600)^-0.5 [Wanninkhof 1992 Schmidt polynomial] x(CO2_uM-CO2sat_uM) x1e-3 x12 = gC/m2/d, mean of 186 valid site-days. FLAG: BACKCALC","Aho et al. 2021.csv (per-site hourly time series w/ daily streamMetabolizer GPP/ER/K600, EDI repository doi:10.6073/pasta/68cfcebdede8d3a671cd426a1252f255)",Temperate,120.9
10.1002/lol2.10195,"(Aho et al., 2021)","Connecticut River Watershed, northwest Connecticut, USA",Nepaug River,"temperate forested watershed, nested headwater-to-mainstem river network",0.8531,0.982,6.824,15.29,1.617,-0.635,Nested forested drainage network (predominantly forested catchment); free-flowing headwater tributary,Surface runoff,"Aho et al. 2021.csv per-site-day aggregates, QA-filtered to physically valid days (GPP>=0 & ER<=0; n_valid=40/40 total site-days with both estimates -- no sign-flip days at this site) (n=40). GPP_O2=1.534, ER_O2=-5.846 gO2/m2/d. GPP_C=GPP_O2*12/32=0.575; ER_C=|ER|*12/32*1.0 (RQ=1.0)=2.192 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. pH: mean of 203 daily values. Temperature_C: mean of 203 daily WaterTemp_C values. Discharge: mean of 207 daily values, Q_cfs x0.0283168466 = m3/s. CO2_flux: Fick's law, kCO2=K600.daily x(ScCO2(T)/600)^-0.5 [Wanninkhof 1992 Schmidt polynomial] x(CO2_uM-CO2sat_uM) x1e-3 x12 = gC/m2/d, mean of 40 valid site-days. FLAG: BACKCALC","Aho et al. 2021.csv (per-site hourly time series w/ daily streamMetabolizer GPP/ER/K600, EDI repository doi:10.6073/pasta/68cfcebdede8d3a671cd426a1252f255)",Temperate,120.9
10.1002/lol2.10195,"(Aho et al., 2021)","Connecticut River Watershed, northwest Connecticut, USA",Phelps Brook,"temperate forested watershed, nested headwater-to-mainstem river network",0.0257,4.633,6.642,16.69,4.669,-0.036,Nested forested drainage network (predominantly forested catchment); free-flowing headwater tributary,Surface runoff,"Aho et al. 2021.csv per-site-day aggregates, QA-filtered to physically valid days (GPP>=0 & ER<=0; n_valid=78/176 total site-days with both estimates -- raw data include streamMetabolizer sign-flip days, common failure mode on noisy diel O2 signals, excluded per standard QA) (n=78). GPP_O2=0.567, ER_O2=-13.019 gO2/m2/d. GPP_C=GPP_O2*12/32=0.213; ER_C=|ER|*12/32*1.0 (RQ=1.0)=4.882 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. pH: mean of 149 daily values. Temperature_C: mean of 170 daily WaterTemp_C values. Discharge: mean of 178 daily values, Q_cfs x0.0283168466 = m3/s. CO2_flux: Fick's law, kCO2=K600.daily x(ScCO2(T)/600)^-0.5 [Wanninkhof 1992 Schmidt polynomial] x(CO2_uM-CO2sat_uM) x1e-3 x12 = gC/m2/d, mean of 154 valid site-days. FLAG: BACKCALC","Aho et al. 2021.csv (per-site hourly time series w/ daily streamMetabolizer GPP/ER/K600, EDI repository doi:10.6073/pasta/68cfcebdede8d3a671cd426a1252f255)",Temperate,120.9
10.1002/lno.12226,"(Bernal et al., 2022)","Two third-order headwater streams (Fuirosos and Font del Regàs) in the La Tordera granitic catchment, Catalonia, NE Spain",Font del Regas (perennial),"Mediterranean forested headwater, non-perennial stream",0.05536,6.78,6.5,13.71,3.767,3.013,"Spring-fed, groundwater-gaining stream; perennial flow sustained by significant lateral groundwater inputs along the mainstem",Groundwater-fed,"Bernal Supplement.xlsx 'output streamMetabolizer REGAS' sheet, per-site daily values (Q/GPP.mean/ER.mean); CO2_flux from 'Fig4 Fig6 Table2 TableS4, etc' sheet total.c.mass (n=22); Temperature_C from 'input streamMetabolizer' sheet temp.water column (n=62). GPP_O2=0.207, ER_O2=-10.252 gO2/m2/d. GPP_C=GPP_O2*12/32=0.078; ER_C=|ER|*12/32*1.0 (RQ=1.0)=3.844 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. Q_L/s / 1000 = m3/s. GPP_O2/ER_O2 recomputed with our own RQ=1.0 from GPP.mean/ER.mean -- NOT the Fig4/Fig6 sheet's own gpp.c/er.c.abs columns (those use the paper's internal RQ assumption, and that sheet's gpp.o/er.o.neg columns are incomplete). FLAG: BACKCALC","Bernal Supplement.xlsx, 'output streamMetabolizer REGAS' sheet (GPP/ER/Q) + 'Fig4 Fig6 Table2 TableS4, etc' sheet (CO2 flux)",Mediterranean,92.5
10.1002/lno.12226,"(Bernal et al., 2022)","Two third-order headwater streams (Fuirosos and Font del Regàs) in the La Tordera granitic catchment, Catalonia, NE Spain",Fuirosos (non-perennial),"Mediterranean forested headwater, non-perennial stream",0.00198,2.569,6.5,16.64,1.099,1.47,Spring-fed but seasonally losing/intermittent; stream loses water to riparian groundwater and surface flow ceases for several months in summer,Groundwater-fed,"Bernal Supplement.xlsx 'output streamMetabolizer FUI' sheet, per-site daily values (Q/GPP.mean/ER.mean); CO2_flux from 'Fig4 Fig6 Table2 TableS4, etc' sheet total.c.mass (n=47); Temperature_C from 'input streamMetabolizer' sheet temp.water column (n=46). GPP_O2=0.336, ER_O2=-3.265 gO2/m2/d. GPP_C=GPP_O2*12/32=0.126; ER_C=|ER|*12/32*1.0 (RQ=1.0)=1.224 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. Q_L/s / 1000 = m3/s. GPP_O2/ER_O2 recomputed with our own RQ=1.0 from GPP.mean/ER.mean -- NOT the Fig4/Fig6 sheet's own gpp.c/er.c.abs columns (those use the paper's internal RQ assumption, and that sheet's gpp.o/er.o.neg columns are incomplete). FLAG: BACKCALC","Bernal Supplement.xlsx, 'output streamMetabolizer FUI' sheet (GPP/ER/Q) + 'Fig4 Fig6 Table2 TableS4, etc' sheet (CO2 flux)",Mediterranean,90
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, North Carolina Piedmont, USA — an 8.5 km third-order forested stream reach within the Duke Forest in Durham and Orange Counties, NC",CBP,"temperate forested low-gradient headwater stream, North Carolina Piedmont",0.849,0.673,7.167,9.96,0.712,-0.039,"Groundwater-influenced, gaining/losing baseflow stream; low-gradient, fully forested Piedmont stream with reach-scale groundwater exchange along New Hope Creek",Mixed,"Carter Supplement.csv per-site means (n_pH=10). Distance upstream=3450 m (n=9). GPP_O2=0.466, ER_O2=2.365 gO2/m2/d. GPP_C=GPP_O2*12/32=0.175; ER_C=|ER|*12/32*1.0 (RQ=1.0)=0.887 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. CO2_flux_paper (g CO2/m2/d) x12/44 = g C/m2/d. FLAG: BACKCALC",Carter Supplement.csv (per-site high-frequency sensor table),Temperate,118.6
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, North Carolina Piedmont, USA — an 8.5 km third-order forested stream reach within the Duke Forest in Durham and Orange Counties, NC",NHC,"temperate forested low-gradient headwater stream, North Carolina Piedmont",0.694,0.568,7.267,10.81,0.249,0.319,"Groundwater-influenced, gaining/losing baseflow stream; low-gradient, fully forested Piedmont stream with reach-scale groundwater exchange along New Hope Creek",Mixed,"Carter Supplement.csv per-site means (n_pH=7). Distance upstream=0 m (n=8). GPP_O2=1.043, ER_O2=1.708 gO2/m2/d. GPP_C=GPP_O2*12/32=0.391; ER_C=|ER|*12/32*1.0 (RQ=1.0)=0.640 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. CO2_flux_paper (g CO2/m2/d) x12/44 = g C/m2/d. FLAG: BACKCALC",Carter Supplement.csv (per-site high-frequency sensor table),Temperate,118.6
10.1029/2022JG007048,"(Carter et al., 2022)","New Hope Creek, North Carolina Piedmont, USA — an 8.5 km third-order forested stream reach within the Duke Forest in Durham and Orange Counties, NC",PM,"temperate forested low-gradient headwater stream, North Carolina Piedmont",0.964,0.557,7.19,9.44,0.719,-0.162,"Groundwater-influenced, gaining/losing baseflow stream; low-gradient, fully forested Piedmont stream with reach-scale groundwater exchange along New Hope Creek",Mixed,"Carter Supplement.csv per-site means (n_pH=9). Distance upstream=1570 m (n=9). GPP_O2=0.441, ER_O2=2.359 gO2/m2/d. GPP_C=GPP_O2*12/32=0.165; ER_C=|ER|*12/32*1.0 (RQ=1.0)=0.885 gC/m2/d. Internal=ER_C-GPP_C; External=CO2_flux-Internal. CO2_flux_paper (g CO2/m2/d) x12/44 = g C/m2/d. FLAG: BACKCALC",Carter Supplement.csv (per-site high-frequency sensor table),Temperate,118.6
